year,state_name,state_code,sex,age,total
2016,NSW,1,F,0,226273
2016,NSW,1,F,5,232976
2016,NSW,1,F,10,215129
2016,NSW,1,F,15,218317
2016,NSW,1,F,20,241183
2016,NSW,1,F,25,266577
2016,NSW,1,F,30,274379
2016,NSW,1,F,35,252362
2016,NSW,1,F,40,256266
2016,NSW,1,F,45,252844
2016,NSW,1,F,50,246687
2016,NSW,1,F,55,240948
2016,NSW,1,F,60,215758
2016,NSW,1,F,65,196103
2016,NSW,1,F,70,150451
2016,NSW,1,F,75,115280
2016,NSW,1,F,80,86921
2016,NSW,1,F,85,105755
2016,NSW,1,M,0,238859
2016,NSW,1,M,5,245210
2016,NSW,1,M,10,227882
2016,NSW,1,M,15,230107
2016,NSW,1,M,20,248485
2016,NSW,1,M,25,260579
2016,NSW,1,M,30,265983
2016,NSW,1,M,35,247359
2016,NSW,1,M,40,246904
2016,NSW,1,M,45,239600
2016,NSW,1,M,50,238856
2016,NSW,1,M,55,228773
2016,NSW,1,M,60,204286
2016,NSW,1,M,65,188363
2016,NSW,1,M,70,142101
2016,NSW,1,M,75,102029
2016,NSW,1,M,80,68884
2016,NSW,1,M,85,61746
2016,VIC,2,F,0,180625
2016,VIC,2,F,5,179558
2016,VIC,2,F,10,166156
2016,VIC,2,F,15,174492
2016,VIC,2,F,20,204064
2016,VIC,2,F,25,223709
2016,VIC,2,F,30,228324
2016,VIC,2,F,35,204109
2016,VIC,2,F,40,205829
2016,VIC,2,F,45,207269
2016,VIC,2,F,50,193771
2016,VIC,2,F,55,184442
2016,VIC,2,F,60,165440
2016,VIC,2,F,65,151313
2016,VIC,2,F,70,113463
2016,VIC,2,F,75,88199
2016,VIC,2,F,80,67361
2016,VIC,2,F,85,80425
2016,VIC,2,M,0,190592
2016,VIC,2,M,5,189075
2016,VIC,2,M,10,174907
2016,VIC,2,M,15,181849
2016,VIC,2,M,20,209730
2016,VIC,2,M,25,217556
2016,VIC,2,M,30,219608
2016,VIC,2,M,35,199917
2016,VIC,2,M,40,196062
2016,VIC,2,M,45,194776
2016,VIC,2,M,50,184599
2016,VIC,2,M,55,173172
2016,VIC,2,M,60,154399
2016,VIC,2,M,65,140086
2016,VIC,2,M,70,104737
2016,VIC,2,M,75,76915
2016,VIC,2,M,80,52534
2016,VIC,2,M,85,47566
2016,QLD,3,F,0,144429
2016,QLD,3,F,5,154329
2016,QLD,3,F,10,145413
2016,QLD,3,F,15,145089
2016,QLD,3,F,20,157576
2016,QLD,3,F,25,162626
2016,QLD,3,F,30,166218
2016,QLD,3,F,35,155777
2016,QLD,3,F,40,165198
2016,QLD,3,F,45,165459
2016,QLD,3,F,50,157712
2016,QLD,3,F,55,149475
2016,QLD,3,F,60,133130
2016,QLD,3,F,65,122528
2016,QLD,3,F,70,91484
2016,QLD,3,F,75,65261
2016,QLD,3,F,80,45849
2016,QLD,3,F,85,53759
2016,QLD,3,M,0,152032
2016,QLD,3,M,5,162809
2016,QLD,3,M,10,153680
2016,QLD,3,M,15,151192
2016,QLD,3,M,20,159283
2016,QLD,3,M,25,158127
2016,QLD,3,M,30,159731
2016,QLD,3,M,35,149442
2016,QLD,3,M,40,157707
2016,QLD,3,M,45,157523
2016,QLD,3,M,50,151016
2016,QLD,3,M,55,142723
2016,QLD,3,M,60,127555
2016,QLD,3,M,65,119671
2016,QLD,3,M,70,88924
2016,QLD,3,M,75,60823
2016,QLD,3,M,80,37884
2016,QLD,3,M,85,31769
2016,SA,4,F,0,47161
2016,SA,4,F,5,49036
2016,SA,4,F,10,46382
2016,SA,4,F,15,49169
2016,SA,4,F,20,52766
2016,SA,4,F,25,53851
2016,SA,4,F,30,55983
2016,SA,4,F,35,51697
2016,SA,4,F,40,53580
2016,SA,4,F,45,57435
2016,SA,4,F,50,57337
2016,SA,4,F,55,57230
2016,SA,4,F,60,52524
2016,SA,4,F,65,49638
2016,SA,4,F,70,37897
2016,SA,4,F,75,28881
2016,SA,4,F,80,21942
2016,SA,4,F,85,28140
2016,SA,4,M,0,49909
2016,SA,4,M,5,51432
2016,SA,4,M,10,49074
2016,SA,4,M,15,51515
2016,SA,4,M,20,55218
2016,SA,4,M,25,53509
2016,SA,4,M,30,54763
2016,SA,4,M,35,51118
2016,SA,4,M,40,53069
2016,SA,4,M,45,56186
2016,SA,4,M,50,55930
2016,SA,4,M,55,54668
2016,SA,4,M,60,49505
2016,SA,4,M,65,46646
2016,SA,4,M,70,34672
2016,SA,4,M,75,25006
2016,SA,4,M,80,17430
2016,SA,4,M,85,16340
2016,WA,5,F,0,78572
2016,WA,5,F,5,79873
2016,WA,5,F,10,73504
2016,WA,5,F,15,72881
2016,WA,5,F,20,77773
2016,WA,5,F,25,91940
2016,WA,5,F,30,96282
2016,WA,5,F,35,85737
2016,WA,5,F,40,85784
2016,WA,5,F,45,85942
2016,WA,5,F,50,80892
2016,WA,5,F,55,75778
2016,WA,5,F,60,67306
2016,WA,5,F,65,58854
2016,WA,5,F,70,42054
2016,WA,5,F,75,32452
2016,WA,5,F,80,23786
2016,WA,5,F,85,26580
2016,WA,5,M,0,83156
2016,WA,5,M,5,84278
2016,WA,5,M,10,77299
2016,WA,5,M,15,77112
2016,WA,5,M,20,82560
2016,WA,5,M,25,92971
2016,WA,5,M,30,97985
2016,WA,5,M,35,87305
2016,WA,5,M,40,86213
2016,WA,5,M,45,86578
2016,WA,5,M,50,81546
2016,WA,5,M,55,74122
2016,WA,5,M,60,64835
2016,WA,5,M,65,57902
2016,WA,5,M,70,40852
2016,WA,5,M,75,29055
2016,WA,5,M,80,18804
2016,WA,5,M,85,15849
2016,TAS,6,F,0,13929
2016,TAS,6,F,5,15326
2016,TAS,6,F,10,14729
2016,TAS,6,F,15,15118
2016,TAS,6,F,20,14569
2016,TAS,6,F,25,14609
2016,TAS,6,F,30,15085
2016,TAS,6,F,35,14810
2016,TAS,6,F,40,16422
2016,TAS,6,F,45,17863
2016,TAS,6,F,50,18290
2016,TAS,6,F,55,19310
2016,TAS,6,F,60,17783
2016,TAS,6,F,65,16769
2016,TAS,6,F,70,12535
2016,TAS,6,F,75,9280
2016,TAS,6,F,80,6650
2016,TAS,6,F,85,7415
2016,TAS,6,M,0,14539
2016,TAS,6,M,5,16190
2016,TAS,6,M,10,15492
2016,TAS,6,M,15,15958
2016,TAS,6,M,20,15292
2016,TAS,6,M,25,14091
2016,TAS,6,M,30,14241
2016,TAS,6,M,35,13522
2016,TAS,6,M,40,15078
2016,TAS,6,M,45,16645
2016,TAS,6,M,50,17250
2016,TAS,6,M,55,18078
2016,TAS,6,M,60,16997
2016,TAS,6,M,65,16180
2016,TAS,6,M,70,11894
2016,TAS,6,M,75,8334
2016,TAS,6,M,80,5345
2016,TAS,6,M,85,4348
2016,NT,7,F,0,8623
2016,NT,7,F,5,8131
2016,NT,7,F,10,7252
2016,NT,7,F,15,6598
2016,NT,7,F,20,7796
2016,NT,7,F,25,10573
2016,NT,7,F,30,10471
2016,NT,7,F,35,8747
2016,NT,7,F,40,8035
2016,NT,7,F,45,7914
2016,NT,7,F,50,7157
2016,NT,7,F,55,6291
2016,NT,7,F,60,4900
2016,NT,7,F,65,3361
2016,NT,7,F,70,1987
2016,NT,7,F,75,1192
2016,NT,7,F,80,689
2016,NT,7,F,85,545
2016,NT,7,M,0,9000
2016,NT,7,M,5,8689
2016,NT,7,M,10,7776
2016,NT,7,M,15,7474
2016,NT,7,M,20,8850
2016,NT,7,M,25,11133
2016,NT,7,M,30,10860
2016,NT,7,M,35,9268
2016,NT,7,M,40,8580
2016,NT,7,M,45,8537
2016,NT,7,M,50,7697
2016,NT,7,M,55,6600
2016,NT,7,M,60,5503
2016,NT,7,M,65,4002
2016,NT,7,M,70,2314
2016,NT,7,M,75,1322
2016,NT,7,M,80,573
2016,NT,7,M,85,394
2016,ACT,8,F,0,12897
2016,ACT,8,F,5,12225
2016,ACT,8,F,10,10843
2016,ACT,8,F,15,12144
2016,ACT,8,F,20,15563
2016,ACT,8,F,25,16538
2016,ACT,8,F,30,17143
2016,ACT,8,F,35,15174
2016,ACT,8,F,40,14286
2016,ACT,8,F,45,13392
2016,ACT,8,F,50,12589
2016,ACT,8,F,55,11561
2016,ACT,8,F,60,10040
2016,ACT,8,F,65,9072
2016,ACT,8,F,70,6435
2016,ACT,8,F,75,4625
2016,ACT,8,F,80,3292
2016,ACT,8,F,85,3839
2016,ACT,8,M,0,13898
2016,ACT,8,M,5,13228
2016,ACT,8,M,10,11391
2016,ACT,8,M,15,12364
2016,ACT,8,M,20,15860
2016,ACT,8,M,25,15947
2016,ACT,8,M,30,16484
2016,ACT,8,M,35,15014
2016,ACT,8,M,40,13926
2016,ACT,8,M,45,13162
2016,ACT,8,M,50,11845
2016,ACT,8,M,55,10793
2016,ACT,8,M,60,9112
2016,ACT,8,M,65,8210
2016,ACT,8,M,70,5731
2016,ACT,8,M,75,3898
2016,ACT,8,M,80,2546
2016,ACT,8,M,85,2319
