year,state,state_name,sex,age,ERP
1981,1,New South Wales,F,0,193885.9126
1981,1,New South Wales,F,5,217174.752
1981,1,New South Wales,F,10,217882.4925
1981,1,New South Wales,F,15,214594.8917
1981,1,New South Wales,F,20,218164.4661
1981,1,New South Wales,F,25,209189.7148
1981,1,New South Wales,F,30,210285.1744
1981,1,New South Wales,F,35,173608.7955
1981,1,New South Wales,F,40,146884.3552
1981,1,New South Wales,F,45,130037.1104
1981,1,New South Wales,F,50,138821.3683
1981,1,New South Wales,F,55,137619.051
1981,1,New South Wales,F,60,118798.6406
1981,1,New South Wales,F,65,105491.1033
1981,1,New South Wales,F,70,82347.85139
1981,1,New South Wales,F,75,56191.60857
1981,1,New South Wales,F,80,36891.83306
1981,1,New South Wales,F,85,27578.18404
1981,1,New South Wales,M,0,203318.7084
1981,1,New South Wales,M,5,227519.3377
1981,1,New South Wales,M,10,228026.468
1981,1,New South Wales,M,15,226752.1919
1981,1,New South Wales,M,20,221316.1471
1981,1,New South Wales,M,25,206805.2111
1981,1,New South Wales,M,30,213338.2746
1981,1,New South Wales,M,35,178756.9707
1981,1,New South Wales,M,40,152756.5075
1981,1,New South Wales,M,45,136011.9667
1981,1,New South Wales,M,50,143486.4288
1981,1,New South Wales,M,55,135863.568
1981,1,New South Wales,M,60,108291.8876
1981,1,New South Wales,M,65,90729.67327
1981,1,New South Wales,M,70,63657.0965
1981,1,New South Wales,M,75,37091.28712
1981,1,New South Wales,M,80,18069.84536
1981,1,New South Wales,M,85,9645.868394
1981,2,Victoria,F,0,144053.0316
1981,2,Victoria,F,5,164650.1746
1981,2,Victoria,F,10,177550.0334
1981,2,Victoria,F,15,169803.2362
1981,2,Victoria,F,20,167796.6515
1981,2,Victoria,F,25,160391.3882
1981,2,Victoria,F,30,160975.3945
1981,2,Victoria,F,35,129584.3207
1981,2,Victoria,F,40,109917.4258
1981,2,Victoria,F,45,98329.95471
1981,2,Victoria,F,50,103673.4398
1981,2,Victoria,F,55,101122.4106
1981,2,Victoria,F,60,84098.47628
1981,2,Victoria,F,65,76736.3209
1981,2,Victoria,F,70,61277.41718
1981,2,Victoria,F,75,43266.88873
1981,2,Victoria,F,80,28859.63294
1981,2,Victoria,F,85,20433.12444
1981,2,Victoria,M,0,151535.264
1981,2,Victoria,M,5,173004.1375
1981,2,Victoria,M,10,184919.3736
1981,2,Victoria,M,15,177884.2999
1981,2,Victoria,M,20,168149.2936
1981,2,Victoria,M,25,157306.4016
1981,2,Victoria,M,30,158495.7343
1981,2,Victoria,M,35,132143.6762
1981,2,Victoria,M,40,113800.1184
1981,2,Victoria,M,45,102188.3813
1981,2,Victoria,M,50,107573.7662
1981,2,Victoria,M,55,100292.1951
1981,2,Victoria,M,60,77229.31263
1981,2,Victoria,M,65,65449.77276
1981,2,Victoria,M,70,47558.70728
1981,2,Victoria,M,75,28949.19723
1981,2,Victoria,M,80,14134.0212
1981,2,Victoria,M,85,7228.081119
1981,3,Queensland,F,0,89837.27447
1981,3,Queensland,F,5,102241.6893
1981,3,Queensland,F,10,105049.707
1981,3,Queensland,F,15,101209.4964
1981,3,Queensland,F,20,98472.65089
1981,3,Queensland,F,25,91345.06181
1981,3,Queensland,F,30,91212.87805
