year,state,age,births
1981,1,15,6065.333333
1981,1,20,23682
1981,1,25,30365
1981,1,30,16731
1981,1,35,4396
1981,1,40,647.9166667
1981,1,45,28.45833333
1981,2,15,3343.833334
1981,2,20,15879
1981,2,25,23372.00001
1981,2,30,12886
1981,2,35,3239
1981,2,40,491.4583333
1981,2,45,36.08333334
1981,3,15,3643.583333
1981,3,20,11787.04167
1981,3,25,13058.25
1981,3,30,6740.916666
1981,3,35,1742.208333
1981,3,40,298.8333333
1981,3,45,6.791666668
1981,4,15,1493.833333
1981,4,20,5952.166666
1981,4,25,7436.333334
1981,4,30,3435.875
1981,4,35,794.2083333
1981,4,40,113.25
1981,4,45,5.999999998
1981,5,15,1698.041667
1981,5,20,6657.791666
1981,5,25,8284.000001
1981,5,30,4108
1981,5,35,953.9583333
1981,5,40,181.7916667
1981,5,45,6.708333331
1981,6,15,732.9583334
1981,6,20,2540.416667
1981,6,25,2483.791667
1981,6,30,1141.916667
1981,6,35,259.75
1981,6,40,48.29166667
1981,6,45,0
1981,7,15,458.2916666
1981,7,20,911.0833333
1981,7,25,980.0416667
1981,7,30,520.9583333
1981,7,35,179.7916667
1981,7,40,29.125
1981,7,45,1.75
1981,8,15,165.7916667
1981,8,20,962.3333333
1981,8,25,1636.833333
1981,8,30,1059.458333
1981,8,35,278.5416667
1981,8,40,30
1981,8,45,1.458333334
1982,1,15,5959.791667
1982,1,20,23653
1982,1,25,30941
1982,1,30,17571
1982,1,35,5019
1982,1,40,679.875
1982,1,45,38.66666666
1982,2,15,3209.083334
1982,2,20,15516
1982,2,25,23546
1982,2,30,13349
1982,2,35,3633
1982,2,40,523.5416666
1982,2,45,36.45833334
1982,3,15,3594.375
1982,3,20,12013.29167
1982,3,25,13753.04167
1982,3,30,7103.166666
1982,3,35,2062.250001
1982,3,40,352.4166666
1982,3,45,14.25
1982,4,15,1333.208333
1982,4,20,5798.791667
1982,4,25,7481.375
1982,4,30,3549.833334
1982,4,35,895.1666666
1982,4,40,109.4583333
1982,4,45,5.666666666
1982,5,15,1627.208333
1982,5,20,6600.958334
1982,5,25,8584.999999
1982,5,30,4191
1982,5,35,1088.625
1982,5,40,147.2083333
1982,5,45,10.29166666
1982,6,15,673.7083332
1982,6,20,2347.375
1982,6,25,2517.125
1982,6,30,1163.791667
1982,6,35,252.7916667
1982,6,40,36.50000001
1982,6,45,0.666666667
1982,7,15,461.9583333
1982,7,20,854.4583333
1982,7,25,857.7916667
1982,7,30,524.75
1982,7,35,130.9583333
1982,7,40,27.25000001
1982,7,45,0.5
1982,8,15,158.0416667
1982,8,20,927.0416667
1982,8,25,1556.75
1982,8,30,1099.458333
1982,8,35,286
1982,8,40,40.75
1982,8,45,0.333333333
1983,1,15,5652.583333
1983,1,20,23071
1983,1,25,31095
1983,1,30,17611
1983,1,35,5114
1983,1,40,714.9583333
1983,1,45,21.95833334
1983,2,15,3022.333334
1983,2,20,15291
1983,2,25,23853
1983,2,30,13494
1983,2,35,3705
1983,2,40,487.0416667
1983,2,45,29.375
1983,3,15,3629
1983,3,20,12461.16667
1983,3,25,14427.70833
1983,3,30,7314.958333
1983,3,35,2166.666666
1983,3,40,305.25
1983,3,45,21.375
1983,4,15,1300.416667
1983,4,20,5837.666667
1983,4,25,7674.208333
1983,4,30,3879.916666
1983,4,35,981.2916666
1983,4,40,105.125
1983,4,45,4.375
1983,5,15,1563.208333
1983,5,20,6812.791667
1983,5,25,8823
1983,5,30,4555
1983,5,35,1155.708333
1983,5,40,171
1983,5,45,6.750000002
1983,6,15,573.75
1983,6,20,2312.958333
1983,6,25,2633.583333
1983,6,30,1180.916667
1983,6,35,288.2083333
1983,6,40,39
1983,6,45,1.499999999
1983,7,15,503.875
1983,7,20,867
1983,7,25,974.0416667
1983,7,30,577.625
1983,7,35,137.6666667
1983,7,40,32.58333334
1983,7,45,2.041666667
1983,8,15,156.2916667
1983,8,20,905.5833333
1983,8,25,1586.791667
1983,8,30,1073.375
1983,8,35,358.5833333
1983,8,40,56.41666667
1983,8,45,2.833333333
1984,1,15,4745.458333
1984,1,20,20831
1984,1,25,29429
1984,1,30,17134
1984,1,35,5055
1984,1,40,734.9166667
1984,1,45,39.25
1984,2,15,2655.708333
1984,2,20,14320
1984,2,25,23764
1984,2,30,14060
1984,2,35,4077
1984,2,40,534.6250001
1984,2,45,25.33333334
1984,3,15,3127.333333
1984,3,20,11390.45833
1984,3,25,14286.83333
1984,3,30,7418.458333
1984,3,35,2165.791666
1984,3,40,316.0833334
1984,3,45,16.29166667
1984,4,15,1265.125
1984,4,20,5624.041667
1984,4,25,7927.166666
1984,4,30,3980.791667
1984,4,35,1085.041667
1984,4,40,133.7083333
1984,4,45,4.999999999
1984,5,15,1423.125
1984,5,20,6023.916667
1984,5,25,8374
1984,5,30,4475
1984,5,35,1155.708333
1984,5,40,142.125
1984,5,45,9.708333335
1984,6,15,574.4166667
1984,6,20,2234.208333
1984,6,25,2646.875001
1984,6,30,1243.458333
1984,6,35,358.7916666
1984,6,40,37.75
1984,6,45,2.5
1984,7,15,468.5416667
1984,7,20,928.3333333
1984,7,25,983.2083333
1984,7,30,546.4166667
1984,7,35,164.5416667
1984,7,40,21.91666667
1984,7,45,1
1984,8,15,127.4166667
1984,8,20,787.9583333
1984,8,25,1612.791667
1984,8,30,1118.416667
1984,8,35,365.5
1984,8,40,53.79166667
1984,8,45,0
1985,1,15,4935.958334
1985,1,20,22312
1985,1,25,33262
1985,1,30,20256
1985,1,35,6118
1985,1,40,826.875
1985,1,45,41.58333334
1985,2,15,2662.5
1985,2,20,14174
1985,2,25,24792
1985,2,30,14997
1985,2,35,4304.000001
1985,2,40,565.3750001
1985,2,45,21.125
1985,3,15,3011.416667
1985,3,20,11015.58333
1985,3,25,14327.08333
1985,3,30,7713.625
1985,3,35,2329.5
1985,3,40,318.625
1985,3,45,13.16666667
1985,4,15,1172.083333
1985,4,20,5435
1985,4,25,7763.291667
1985,4,30,4158.916666
1985,4,35,1057.833333
1985,4,40,115.7083333
1985,4,45,6.791666666
1985,5,15,1376.791667
1985,5,20,6128.875
1985,5,25,9022
1985,5,30,4991.000001
1985,5,35,1401.875
1985,5,40,188.1666667
1985,5,45,8.125000001
1985,6,15,586.8333333
1985,6,20,2103.666667
1985,6,25,2739.875
1985,6,30,1365.708333
1985,6,35,362.75
1985,6,40,41.50000001
1985,6,45,3.833333334
1985,7,15,487.875
1985,7,20,877.25
1985,7,25,1039.583333
1985,7,30,633.7916668
1985,7,35,193.5416667
1985,7,40,41.625
1985,7,45,0
1985,8,15,129.4583333
1985,8,20,848.25
1985,8,25,1558.166667
1985,8,30,1122.083333
1985,8,35,370.625
1985,8,40,36.625
1985,8,45,3.083333333
1986,1,15,4706.041666
1986,1,20,20253
1986,1,25,32152
1986,1,30,19535
1986,1,35,6219
1986,1,40,804.9583333
1986,1,45,29.16666667
1986,2,15,2501.5
1986,2,20,12847
1986,2,25,24103
1986,2,30,15006
1986,2,35,4491
1986,2,40,537.9166667
1986,2,45,21.25
1986,3,15,2995
1986,3,20,10282.58333
1986,3,25,14478.5
1986,3,30,8007.833334
1986,3,35,2385.041667
1986,3,40,338.2500001
1986,3,45,21.79166667
1986,4,15,1177.75
1986,4,20,5093.833333
1986,4,25,7771.416666
1986,4,30,4268.916667
1986,4,35,1138.375
1986,4,40,145.9166667
1986,4,45,9.875
1986,5,15,1495.708333
1986,5,20,6057.958333
1986,5,25,9344
1986,5,30,5265.999999
1986,5,35,1544.916667
1986,5,40,174.5833333
1986,5,45,4.791666664
1986,6,15,518.7083333
1986,6,20,1988.875
1986,6,25,2683.958333
1986,6,30,1317.666667
1986,6,35,350.2083333
1986,6,40,51.54166666
1986,6,45,1.666666666
1986,7,15,548.5833333
1986,7,20,921.125
1986,7,25,1020.833333
1986,7,30,572
1986,7,35,172.0833333
1986,7,40,23.83333333
1986,7,45,0.5
1986,8,15,140.5416667
1986,8,20,801.9166667
1986,8,25,1546.291667
1986,8,30,1128.291667
1986,8,35,382.5833333
1986,8,40,50.04166667
1986,8,45,0.166666667
1987,1,15,4722.583333
1987,1,20,19352
1987,1,25,33178.00001
1987,1,30,20950
1987,1,35,6788
1987,1,40,1022.833333
1987,1,45,47.83333333
1987,2,15,2641.333334
1987,2,20,12558
1987,2,25,24573
1987,2,30,15965
1987,2,35,4964.999999
1987,2,40,674.4583333
1987,2,45,42.54166667
1987,3,15,2699.541667
1987,3,20,9600.833333
1987,3,25,14415.25
1987,3,30,8186.083333
1987,3,35,2427.208333
1987,3,40,348.8333334
1987,3,45,17.66666667
1987,4,15,1118.583333
1987,4,20,4549.208334
1987,4,25,7742.416666
1987,4,30,4397.791666
1987,4,35,1213.333333
1987,4,40,164.3333333
1987,4,45,4.291666666
