year,state,sex,age,immig,emig
1981,1,F,0,3460,1310
1981,1,F,5,3260,1070
1981,1,F,10,2530,740
1981,1,F,15,3120,780
1981,1,F,20,5630,2770
1981,1,F,25,5890,2520
1981,1,F,30,4640,1890
1981,1,F,35,2810,1120
1981,1,F,40,1580,630
1981,1,F,45,930,430
1981,1,F,50,760,370
1981,1,F,55,680,340
1981,1,F,60,730,290
1981,1,F,65,600,260
1981,1,F,70,330,160
1981,1,F,75,190,80
1981,1,F,80,90,40
1981,1,F,85,40,30
1981,1,M,0,3820,1380
1981,1,M,5,3640,1140
1981,1,M,10,2920,750
1981,1,M,15,3270,690
1981,1,M,20,6380,2640
1981,1,M,25,6270,2810
1981,1,M,30,5780,2350
1981,1,M,35,3860,1650
1981,1,M,40,2510,1040
1981,1,M,45,1560,700
1981,1,M,50,1050,480
1981,1,M,55,700,360
1981,1,M,60,520,250
1981,1,M,65,500,240
1981,1,M,70,280,120
1981,1,M,75,130,60
1981,1,M,80,50,30
1981,1,M,85,0,20
1981,2,F,0,2130,750
1981,2,F,5,2110,720
1981,2,F,10,1730,560
1981,2,F,15,2070,470
1981,2,F,20,3330,1660
1981,2,F,25,3560,1450
1981,2,F,30,2810,1130
1981,2,F,35,1780,730
1981,2,F,40,990,380
1981,2,F,45,630,270
1981,2,F,50,500,190
1981,2,F,55,500,210
1981,2,F,60,500,210
1981,2,F,65,460,190
1981,2,F,70,310,140
1981,2,F,75,140,70
1981,2,F,80,80,20
1981,2,F,85,30,20
1981,2,M,0,2280,840
1981,2,M,5,2310,760
1981,2,M,10,2030,600
1981,2,M,15,2370,450
1981,2,M,20,3730,1680
1981,2,M,25,3700,1730
1981,2,M,30,3300,1360
1981,2,M,35,2300,1010
1981,2,M,40,1490,650
1981,2,M,45,860,390
1981,2,M,50,590,290
1981,2,M,55,480,220
1981,2,M,60,350,170
1981,2,M,65,370,140
1981,2,M,70,230,100
1981,2,M,75,120,50
1981,2,M,80,40,20
1981,2,M,85,20,10
1981,3,F,0,1250,520
1981,3,F,5,1440,450
1981,3,F,10,1230,310
1981,3,F,15,1200,330
1981,3,F,20,2030,1050
1981,3,F,25,2000,950
1981,3,F,30,1780,650
1981,3,F,35,1150,430
1981,3,F,40,670,220
1981,3,F,45,420,170
1981,3,F,50,260,120
1981,3,F,55,230,110
1981,3,F,60,250,70
1981,3,F,65,230,80
1981,3,F,70,130,50
1981,3,F,75,60,30
1981,3,F,80,30,0
1981,3,F,85,20,10
1981,3,M,0,1440,560
1981,3,M,5,1590,530
1981,3,M,10,1410,350
1981,3,M,15,1260,290
1981,3,M,20,2150,960
1981,3,M,25,2090,1050
1981,3,M,30,1950,900
1981,3,M,35,1430,600
1981,3,M,40,950,380
1981,3,M,45,560,240
1981,3,M,50,420,190
1981,3,M,55,280,130
1981,3,M,60,170,70
1981,3,M,65,190,80
1981,3,M,70,120,40
1981,3,M,75,60,20
1981,3,M,80,20,0
1981,3,M,85,0,0
1981,4,F,0,640,230
1981,4,F,5,620,180
1981,4,F,10,470,140
1981,4,F,15,520,180
1981,4,F,20,910,500
1981,4,F,25,1000,460
1981,4,F,30,780,330
1981,4,F,35,480,230
1981,4,F,40,290,110
1981,4,F,45,140,90
1981,4,F,50,140,70
1981,4,F,55,150,60
1981,4,F,60,140,60
1981,4,F,65,130,70
1981,4,F,70,110,40
1981,4,F,75,50,20
1981,4,F,80,30,10
1981,4,F,85,20,10
1981,4,M,0,670,220
1981,4,M,5,610,220
1981,4,M,10,560,180
1981,4,M,15,590,170
1981,4,M,20,930,500
1981,4,M,25,1040,510
1981,4,M,30,910,450
1981,4,M,35,580,260
1981,4,M,40,380,170
1981,4,M,45,200,110
1981,4,M,50,160,90
1981,4,M,55,130,70
1981,4,M,60,110,50
1981,4,M,65,110,60
1981,4,M,70,80,30
1981,4,M,75,50,20
1981,4,M,80,20,0
1981,4,M,85,0,0
1981,5,F,0,1290,370
1981,5,F,5,1230,320
1981,5,F,10,1060,270
1981,5,F,15,880,280
1981,5,F,20,1710,880
1981,5,F,25,1870,770
1981,5,F,30,1660,540
1981,5,F,35,1060,330
1981,5,F,40,570,180
1981,5,F,45,320,100
1981,5,F,50,250,100
1981,5,F,55,220,90
1981,5,F,60,250,80
1981,5,F,65,220,70
1981,5,F,70,140,50
1981,5,F,75,70,20
1981,5,F,80,30,0
1981,5,F,85,10,0
1981,5,M,0,1270,460
1981,5,M,5,1360,330
1981,5,M,10,1180,280
1981,5,M,15,1030,230
1981,5,M,20,1780,910
1981,5,M,25,2110,1050
1981,5,M,30,1950,710
1981,5,M,35,1340,470
1981,5,M,40,860,270
1981,5,M,45,500,210
1981,5,M,50,310,120
1981,5,M,55,260,80
1981,5,M,60,180,70
1981,5,M,65,220,70
1981,5,M,70,110,40
1981,5,M,75,50,20
1981,5,M,80,20,0
1981,5,M,85,10,0
1981,6,F,0,120,50
1981,6,F,5,60,40
1981,6,F,10,80,30
1981,6,F,15,100,50
1981,6,F,20,180,120
1981,6,F,25,210,120
1981,6,F,30,140,70
1981,6,F,35,90,30
1981,6,F,40,30,20
1981,6,F,45,20,20
1981,6,F,50,20,10
1981,6,F,55,30,0
1981,6,F,60,30,0
1981,6,F,65,20,10
1981,6,F,70,10,10
1981,6,F,75,0,0
1981,6,F,80,0,0
1981,6,F,85,0,0
1981,6,M,0,130,50
1981,6,M,5,100,30
1981,6,M,10,70,20
1981,6,M,15,100,30
1981,6,M,20,180,100
1981,6,M,25,200,120
1981,6,M,30,150,60
1981,6,M,35,100,60
1981,6,M,40,60,30
1981,6,M,45,40,30
1981,6,M,50,30,20
1981,6,M,55,20,0
1981,6,M,60,30,0
1981,6,M,65,20,10
1981,6,M,70,10,0
1981,6,M,75,0,0
1981,6,M,80,0,0
1981,6,M,85,0,0
1981,7,F,0,110,50
1981,7,F,5,130,40
1981,7,F,10,110,30
1981,7,F,15,90,30
1981,7,F,20,180,80
1981,7,F,25,170,80
1981,7,F,30,150,60
1981,7,F,35,90,30
1981,7,F,40,40,10
1981,7,F,45,30,0
1981,7,F,50,30,0
1981,7,F,55,20,0
1981,7,F,60,0,0
1981,7,F,65,0,0
1981,7,F,70,0,0
1981,7,F,75,0,0
1981,7,F,80,0,0
1981,7,F,85,0,0
1981,7,M,0,140,40
1981,7,M,5,110,50
1981,7,M,10,120,30
1981,7,M,15,120,30
1981,7,M,20,180,70
1981,7,M,25,170,110
1981,7,M,30,180,90
1981,7,M,35,130,60
1981,7,M,40,80,40
1981,7,M,45,60,30
